flickr',using_id',img_loc',the_image',img_width',img_height',crop_coords',do_img_at',sub_img,full_id',r_min',r_max',r_mean',r_mode',g_min',g_max',g_mean',g_mode',b_min',b_max',b_mean',b_mode',center_rgb',post_num_regions',post_top_hsl',post_top_count',post_2_hsl',post_2_count',post_3_hsl',post_3_count',post_4_hsl',post_4_count',post_5_hsl',post_5_count',post_6_hsl',post_6_count',center_hsl',full_red_count',visib_red_count',vivid_red_count',full_orange_count',visib_orange_count',vivid_orange_count',full_yellow_count',visib_yellow_count',vivid_yellow_count',full_green_count',visib_green_count',vivid_green_count',full_cyan_count',visib_cyan_count',vivid_cyan_count',full_blue_count',visib_blue_count',vivid_blue_count',full_purple_count',visib_purple_count',vivid_purple_count',full_mag_count',visib_mag_count',vivid_mag_count',vivid_count',sat_min_val',sat_25_val',sat_50_val',sat_75_val',sat_max_val',hue_mean_val',sat_mean_val',light_mean_val',light_max_val',light_max_count',light_min_val',light_min_count',light_25_value',light_50_value',light_75_value',gen_bright_count',gen_dark_count',common_hsl_1_val',common_hsl_1_count',common_hsl_2_val',common_hsl_2_count',common_hsl_3_val',common_hsl_3_count',common_hsl_4_val',common_hsl_4_count'
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51278877462,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x214F3B04A50>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698546331,0,5127887746200,0,255,118.3376295,103848,0,255,111.1207146,120398,0,255,121.3860024,93032,"(66, 61, 72)",277,"(39.000000000000064, 0.26315789473684187, 0.8509803921568627)",1855729,"(250.43478260869566, 0.20353982300884954, 0.22156862745098038)",378039,"(247.05882352941174, 0.31481481481481477, 0.21176470588235297)",210534,"(53.68421052631581, 0.575757575757576, 0.9352941176470588)",172839,"(249.60000000000002, 0.1773049645390071, 0.27647058823529413)",53328,"(232.94117647058826, 0.3669064748201439, 0.27254901960784317)",19669,"[267.2727272727273, 0.0827067669172932, 0.2607843137254902]",187373,37,4,351362,19,1,698602,2,0,321,0,0,16820,166,0,193579,17193,0,1407230,15002,0,296585,5,0,5,0,0.103030303,0.2040816327,0.3243243243,1,177.3229626,0.2350665894,0.4627017276,1,19666,0.04117647059,53,0.2588235294,0.3411764706,0.731372549,411303,66291,"(252.00000000000003, 0.30973451327433627, 0.2215686274509804)",17197,"(254.21052631578945, 0.3584905660377359, 0.20784313725490194)",16906,"(252.72727272727272, 0.27731092436974786, 0.23333333333333334)",16633,"(253.125, 0.2580645161290323, 0.2431372549019608)",15613
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698546919,0,5261783340800,46,255,170.2554475,121947,53,255,162.1408335,144966,0,255,144.5258864,143390,"(199, 197, 179)",76,"(60.0, 0.06358381502890183, 0.6607843137254902)",6942759,"(107.99999999999996, 0.07142857142857147, 0.27450980392156865)",36396,"(44.04255319148936, 0.45631067961165045, 0.596078431372549)",9101,"(31.111111111111104, 0.15606936416184983, 0.6607843137254902)",4964,"(50.76923076923081, 1.0, 0.9745098039215686)",4410,"(97.49999999999987, 0.09523809523809526, 0.8352941176470587)",2676,"[54.00000000000003, 0.15151515151515157, 0.7411764705882353]",8842,484,0,1849138,8148,0,4938237,89983,0,269909,0,0,10843,0,0,119,0,0,287,0,0,513,35,0,0,0,0.08108108108,0.1138211382,0.218487395,1,46.70563042,0.1821373759,0.6181269001,0.9980392157,10922,0.137254902,1,0.5078431373,0.5941176471,0.7392156863,453011,1,"(32.14285714285713, 0.2456140350877195, 0.7764705882352941)",8038,"(41.99999999999997, 0.11235955056179768, 0.6509803921568628)",5519,"(32.14285714285713, 0.25000000000000017, 0.7803921568627451)",5318,"(34.28571428571427, 0.2456140350877195, 0.7764705882352941)",5089
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547110,1,5261783340801,93,214,152.5835455,26334,96,213,140.573918,27235,46,209,123.0299592,35339,"(136, 124, 107)",8,"(55.00000000000002, 0.0697674418604652, 0.6627450980392157)",761288,"(46.15384615384608, 0.09090909090909098, 0.7196078431372549)",2211,"(51.130434782608695, 0.4893617021276595, 0.5392156862745098)",1712,"(71.99999999999996, 0.04032258064516126, 0.48627450980392156)",1212,"(65.99999999999997, 0.04098360655737701, 0.5215686274509803)",1152,"(57.93103448275863, 0.3411764705882352, 0.6666666666666667)",1005,"[35.172413793103445, 0.11934156378600821, 0.4764705882352941]",109,0,0,315447,2013,0,410109,7623,0,43734,0,0,478,0,0,1,0,0,2,0,0,0,0,0,0,0,0.06504065041,0.1013215859,0.1836734694,0.6101694915,45.13597899,0.131212769,0.5413371042,0.8196078431,178,0.362745098,3,0.4784313725,0.5117647059,0.5764705882,0,0,"(42.85714285714288, 0.08936170212765955, 0.4607843137254902)",1455,"(39.99999999999999, 0.09012875536480684, 0.45686274509803926)",1451,"(82.50000000000003, 0.03508771929824561, 0.4470588235294118)",1302,"(40.0, 0.09090909090909095, 0.45294117647058824)",1293
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547131,2,5261783340802,112,255,182.5995354,13496,110,255,171.5857076,23443,56,252,153.3266885,27447,"(151, 133, 115)",23,"(64.28571428571426, 0.05691056910569103, 0.48235294117647054)",752939,"(43.33333333333329, 0.12328767123287666, 0.7137254901960784)",7382,"(38.18181818181819, 0.1341463414634147, 0.6784313725490196)",5525,"(34.499999999999964, 0.19417475728155342, 0.5960784313725491)",4459,"(60.0, 0.05263157894736843, 0.7019607843137254)",2256,"(66.66666666666664, 0.0647482014388489, 0.7274509803921569)",2093,"[30.000000000000014, 0.14754098360655737, 0.5215686274509804]",30,0,0,342963,1223,0,428485,14242,0,21871,0,0,849,0,0,1,0,0,1,0,0,0,0,0,0,0,0.09019607843,0.1505376344,0.2626728111,1,42.54684093,0.2038556208,0.6592297441,0.9941176471,1100,0.4156862745,2,0.5411764706,0.6352941176,0.7784313725,54599,0,"(32.14285714285716, 0.2372881355932202, 0.7686274509803921)",2284,"(32.14285714285713, 0.2456140350877195, 0.7764705882352941)",2054,"(31.111111111111075, 0.21951219512195116, 0.7588235294117647)",1934,"(31.034482758620687, 0.2566371681415931, 0.7784313725490196)",1523
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547457,0,5298965193600,34,255,180.2030537,226418,0,255,167.4801308,182860,0,255,148.6610415,132964,"(179, 164, 142)",44,"(20.00000000000005, 0.09677419354838718, 0.7568627450980392)",4262358,"(31.874999999999993, 0.1553398058252427, 0.596078431372549)",2503000,"(36.77419354838707, 0.6326530612244903, 0.903921568627451)",199346,"(23.999999999999936, 0.13513513513513506, 0.8549019607843138)",46796,"(35.55555555555556, 0.14917127071823208, 0.3549019607843137)",6334,"(41.37931034482757, 0.12236286919831228, 0.4647058823529412)",5377,"[35.675675675675706, 0.19576719576719567, 0.6294117647058823]",161639,0,0,2456864,631,0,4318521,1589,0,3607,0,0,7240,0,0,23507,0,0,56199,0,0,50311,0,0,0,0,0.1379310345,0.1794871795,0.2484848485,1,41.08972621,0.2174256569,0.6447646599,1,63804,0.07647058824,28,0.5549019608,0.6333333333,0.7333333333,644189,588,"(0.0, 0.0, 1.0)",37394,"(35.000000000000036, 0.16363636363636355, 0.5686274509803921)",19596,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",19377,"(34.99999999999998, 0.1621621621621621, 0.5647058823529412)",17177
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547639,1,5298965193601,122,255,174.5618148,75842,110,255,163.6370304,52941,90,255,149.961194,40486,"(137, 127, 114)",7,"(30.96774193548387, 0.15121951219512195, 0.5980392156862745)",624648,"(240.0, 0.3333333333333365, 0.9882352941176471)",89544,"(23.999999999999936, 0.13513513513513506, 0.8549019607843138)",44787,"(20.00000000000005, 0.09677419354838718, 0.7568627450980392)",5804,"(330.0, 0.19999999999999943, 0.9803921568627451)",2185,"(31.200000000000028, 0.11961722488038275, 0.5901960784313725)",1718,"[33.913043478260875, 0.09163346613545811, 0.49215686274509807]",26726,0,0,379786,0,0,291607,0,0,224,0,0,577,0,0,15879,0,0,33947,0,0,21134,0,0,0,0,0.1158798283,0.1391304348,0.1612903226,1,56.82617992,0.1636291922,0.6360179814,1,16555,0.4254901961,7,0.562745098,0.5764705882,0.6490196078,99313,0,"(35.000000000000036, 0.16363636363636355, 0.5686274509803921)",9628,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",9021,"(34.99999999999998, 0.1621621621621621, 0.5647058823529412)",8569,"(0.0, 0.0, 1.0)",7143
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547658,2,5298965193602,84,255,189.1103022,50233,59,254,176.1130748,41527,0,247,157.8497154,34306,"(188, 175, 159)",9,"(35.67567567567568, 0.16894977168949776, 0.5705882352941176)",550017,"(0.0, 0.11475409836065578, 0.8803921568627451)",200040,"(30.0, 0.11711711711711721, 0.5647058823529412)",18223,"(31.199999999999996, 0.3124999999999999, 0.6862745098039216)",16169,"(31.19999999999996, 0.11312217194570134, 0.5666666666666667)",5171,"(28.799999999999986, 0.10373443983402494, 0.4725490196078431)",2239,"[33.10344827586206, 0.17791411042944794, 0.6803921568627451]",4151,0,0,368676,5,0,421079,13,0,3,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0.01185770751,0.1607142857,0.1751412429,0.25,1,35.07363633,0.2322536354,0.6803111554,0.9843137255,7,0.1666666667,5,0.5764705882,0.6647058824,0.7137254902,124775,0,"(37.71428571428574, 0.15837104072398184, 0.5666666666666667)",8437,"(37.71428571428574, 0.15981735159817345, 0.5705882352941176)",8285,"(37.71428571428574, 0.15695067264573986, 0.5627450980392157)",7040,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",6978
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547678,3,5298965193603,78,255,185.7193463,42134,59,255,174.7463225,20499,0,255,156.0378127,21724,"(101, 95, 76)",10,"(32.50000000000003, 0.14285714285714288, 0.6705882352941177)",374484,"(32.857142857142826, 0.3, 0.7254901960784315)",303637,"(32.49999999999999, 0.32000000000000006, 0.7058823529411765)",70702,"(45.00000000000005, 0.047619047619047616, 0.5058823529411764)",9977,"(45.0, 0.06666666666666667, 0.47058823529411764)",2820,"(42.35294117647065, 0.12056737588652479, 0.7235294117647059)",2725,"[45.600000000000016, 0.14124293785310732, 0.34705882352941175]",14875,0,0,224047,401,0,530648,345,0,292,0,0,473,0,0,1,0,0,63,0,0,241,0,0,0,0,0.1487603306,0.1838565022,0.3131313131,1,38.3688477,0.2671351496,0.670116781,1,19550,0.1568627451,7,0.5058823529,0.6862745098,0.7921568627,125105,0,"(0.0, 0.0, 1.0)",13825,"(32.30769230769227, 0.1511627906976744, 0.6627450980392158)",3249,"(49.090909090909115, 0.19642857142857123, 0.7803921568627451)",2971,"(37.142857142857146, 0.1926605504587156, 0.5725490196078431)",2790
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547698,4,5298965193604,114,255,171.5250101,43515,103,255,162.2557998,46612,90,255,153.6116261,23444,"(153, 145, 139)",6,"(13.846153846153817, 0.10743801652892546, 0.7627450980392156)",757511,"(0.0, 0.0, 0.996078431372549)",28370,"(252.00000000000003, 0.3846153846153838, 0.9745098039215686)",2326,"(275.99999999999983, 0.06849315068493166, 0.8568627450980393)",2102,"(45.0, 0.33333333333333254, 0.9764705882352941)",1882,"(0.0, 1.0, 0.9980392156862745)",988,"[25.71428571428573, 0.06422018348623856, 0.5725490196078431]",109169,0,0,493536,0,0,131003,0,0,278,0,0,1389,0,0,7587,0,0,22099,0,0,28118,0,0,0,0,0.07142857143,0.09259259259,0.1288888889,1,53.00696891,0.1121148912,0.6371291731,1,22997,0.4,5,0.5549019608,0.5980392157,0.6843137255,62015,0,"(0.0, 0.0, 1.0)",14077,"(36.77419354838708, 0.1353711790393014, 0.5509803921568628)",4049,"(34.83870967741934, 0.1365638766519824, 0.5549019607843138)",3888,"(35.624999999999986, 0.13913043478260878, 0.5490196078431373)",3825
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547718,5,5298965193605,56,253,173.5885901,32215,0,243,160.7205534,35356,0,241,139.6665579,26174,"(180, 165, 143)",12,"(36.66666666666666, 0.1592920353982301, 0.5568627450980392)",652127,"(14.999999999999947, 0.28571428571428614, 0.9450980392156862)",138826,"(36.52173913043478, 0.30263157894736825, 0.7019607843137254)",6485,"(36.428571428571416, 0.15555555555555556, 0.3529411764705882)",6310,"(32.50000000000003, 0.18749999999999992, 0.7490196078431373)",5372,"(39.57446808510638, 0.251336898395722, 0.6333333333333333)",2558,"[35.67567567567568, 0.19786096256684502, 0.6333333333333333]",1091,0,0,125253,6,0,691888,213,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.03557312253,0.1525423729,0.1770334928,0.2197802198,1,37.41895276,0.2078658886,0.6142258115,0.9607843137,591,0.1098039216,3,0.531372549,0.5784313725,0.668627451,71784,42,"(38.918918918918905, 0.15744680851063836, 0.5392156862745099)",5674,"(37.29729729729729, 0.2189349112426036, 0.6686274509803922)",5580,"(37.29729729729729, 0.21637426900584802, 0.6647058823529413)",5329,"(37.7142857142857, 0.15555555555555559, 0.5588235294117647)",4886
