'flickr', 'using_id', 'img_loc', 'the_image', 'img_width', 'img_height', 'crop_coords', 'do_img_at', 'full_id', 'r_min', 'r_max', 'r_mean', 'r_mode', 'g_min', 'g_max', 'g_mean', 'g_mode', 'b_min', 'b_max', 'b_mean', 'b_mode', 'center_rgb', 'post_num_regions', 'post_top_hsl', 'post_top_count', 'post_2_hsl', 'post_2_count', 'post_3_hsl', 'post_3_count', 'post_4_hsl', 'post_4_count', 'post_5_hsl', 'post_5_count', 'post_6_hsl', 'post_6_count', 'center_hsl', 'full_red_count', 'visib_red_count', 'vivid_red_count', 'full_orange_count', 'visib_orange_count', 'vivid_orange_count', 'full_yellow_count', 'visib_yellow_count', 'vivid_yellow_count', 'full_green_count', 'visib_green_count', 'vivid_green_count', 'full_cyan_count', 'visib_cyan_count', 'vivid_cyan_count', 'full_blue_count', 'visib_blue_count', 'vivid_blue_count', 'full_purple_count', 'visib_purple_count', 'vivid_purple_count', 'full_mag_count', 'visib_mag_count', 'vivid_mag_count', 'vivid_count', 'sat_min_val', 'sat_25_val', 'sat_50_val', 'sat_75_val', 'sat_max_val', 'hue_mean_val', 'sat_mean_val', 'light_mean_val', 'light_max_val', 'light_max_count', 'light_min_val', 'light_min_count', 'light_25_value', 'light_50_value', 'light_75_value', 'gen_bright_count', 'gen_dark_count', 'common_hsl_1_val', 'common_hsl_1_count', 'common_hsl_2_val', 'common_hsl_2_count', 'common_hsl_3_val', 'common_hsl_3_count', 'common_hsl_4_val', 'common_hsl_4_count'
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602549.238055,5221590729502,74.0,255.0,196.43673759758246,43377,64.0,255.0,184.6541123142785,44901,21.0,255.0,167.46091412742382,52516,"(205, 190, 168)",1,"(30.0, 0.11111111111111094, 0.9647058823529412)",794200,,0,,0,,0,,0,,0,"[35.67567567567568, 0.27007299270073, 0.7313725490196079]",3313,0,0,215021,1,0,572037,2,0,3805,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.20529801324503294,0.23489932885906045,0.25203252032520324,1.0,37.64863130208637,0.23612584879481383,0.7135541943798421,1.0,23806,0.24705882352941178,6,0.6901960784313725,0.7196078431372549,0.7529411764705882,103571,0,"(36.66666666666669, 0.25714285714285695, 0.7254901960784313)",10872,"(36.666666666666664, 0.26865671641791056, 0.7372549019607844)",10373,"(36.666666666666664, 0.2608695652173914, 0.7294117647058824)",7293,"(60.0, 1.0, 0.9980392156862745)",7203,2
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602568.0609372,5221590729503,43.0,255.0,167.11243901173052,25421,28.0,244.0,137.69252309768504,18695,0.0,228.0,110.0226902314959,28087,"(119, 105, 84)",13,"(31.999999999999993, 0.15151515151515155, 0.38823529411764707)",755130,"(36.315789473684205, 0.22891566265060245, 0.6745098039215687)",4470,"(30.0, 0.3205128205128204, 0.6941176470588235)",2635,"(28.636363636363647, 0.19642857142857148, 0.5607843137254902)",1540,"(30.61224489795918, 0.24378109452736313, 0.6058823529411764)",1374,"(31.57894736842103, 0.5229357798165136, 0.7862745098039217)",1001,"[35.99999999999999, 0.1724137931034483, 0.39803921568627454]",1108,0,0,734111,13730,0,35389,623,31,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,31,0.0,0.18942731277533034,0.2946428571428571,0.3415637860082305,1.0,29.500349302261665,0.2736411264944135,0.5434015017820684,0.9470588235294117,1,0.08431372549019608,1,0.48235294117647054,0.5274509803921569,0.584313725490196,1864,9,"(28.500000000000004, 0.3539823008849558, 0.5568627450980392)",3103,"(28.53658536585365, 0.35344827586206906, 0.5450980392156863)",2919,"(27.199999999999996, 0.30612244897959173, 0.5196078431372548)",2109,"(27.567567567567565, 0.30327868852459006, 0.5215686274509803)",2087,3
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602591.1578827,5221590729504,56.0,255.0,159.44422759553643,18578,53.0,243.0,150.31378919512494,19744,43.0,227.0,141.46408944261006,19428,"(154, 175, 178)",2,"(26.08695652173914, 0.18110236220472417, 0.7509803921568627)",792337,"(22.222222222222214, 0.14438502673796785, 0.6333333333333333)",842,,0,,0,,0,,0,"[187.5, 0.1348314606741573, 0.6509803921568627]",48378,0,0,393835,5875,0,184346,0,0,5176,0,0,103756,0,0,16924,0,0,19196,0,0,21568,0,0,0,0.0,0.035175879396984945,0.11656441717791408,0.3241379310344828,1.0,72.69829752270822,0.2198064597901405,0.5899384554024336,0.9450980392156862,3251,0.21372549019607845,4,0.3941176470588235,0.615686274509804,0.7313725490196078,74861,0,"(35.9999999999999, 0.027027027027027004, 0.36274509803921573)",6970,"(35.999999999999964, 0.026178010471204244, 0.37450980392156863)",6942,"(45.00000000000005, 0.02127659574468085, 0.3686274509803922)",6907,"(45.00000000000005, 0.02197802197802198, 0.35686274509803917)",6333,4
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602610.5957499,5221590729505,28.0,210.0,139.64914236130207,21766,21.0,217.0,140.1259919216362,15031,0.0,220.0,133.15012557517096,22102,"(130, 123, 111)",7,"(38.00000000000001, 0.22058823529411745, 0.7333333333333334)",813197,"(120.0, 0.005347593582887681, 0.6333333333333333)",1467,"(279.99999999999966, 0.01621621621621631, 0.6372549019607843)",1008,"(164.99999999999991, 0.06250000000000007, 0.6235294117647059)",950,"(35.29411764705882, 0.14782608695652175, 0.2254901960784314)",622,"(198.4615384615385, 0.07428571428571434, 0.6568627450980392)",540,"[37.89473684210529, 0.07883817427385888, 0.4725490196078431]",17018,0,0,239545,356,0,225285,79,0,15788,0,0,277878,0,0,9950,0,0,19260,0,0,13511,0,0,0,0.0,0.08264462809917356,0.13636363636363638,0.19999999999999996,1.0,101.765067716571,0.14357128840559938,0.5353545346349873,0.8058823529411765,142,0.054901960784313725,1,0.4392156862745098,0.5549019607843138,0.6352941176470588,0,18,"(37.71428571428569, 0.238095238095238, 0.711764705882353)",1649,"(40.714285714285715, 0.1891891891891891, 0.7098039215686274)",1386,"(38.33333333333332, 0.23684210526315794, 0.7019607843137254)",1363,"(31.428571428571402, 0.08433734939759034, 0.4882352941176471)",1348,5
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602631.57912,5221590729506,50.0,239.0,168.53247636536761,33896,39.0,227.0,131.20543426511597,24831,0.0,206.0,98.27288459649202,36076,"(180, 138, 103)",3,"(26.89655172413794, 0.12446351931330464, 0.4568627450980392)",791899,"(26.89655172413792, 0.29591836734693877, 0.615686274509804)",1194,"(30.731707317073173, 0.2907801418439716, 0.27647058823529413)",869,,0,,0,,0,"[27.272727272727263, 0.33920704845814986, 0.5549019607843138]",1347,0,0,776321,47406,2,16293,236,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0.02958579881656802,0.2900432900432901,0.3251028806584362,0.352112676056338,1.0,28.309338011559245,0.31401403168026687,0.5231479789791884,0.8725490196078431,7,0.11568627450980393,9,0.4803921568627451,0.5294117647058824,0.5607843137254902,33,18,"(26.923076923076927, 0.3391304347826086, 0.5490196078431372)",3277,"(27.34177215189874, 0.3390557939914162, 0.5431372549019607)",3243,"(27.75, 0.34482758620689646, 0.5450980392156862)",3200,"(27.341772151898724, 0.3449781659388647, 0.5509803921568628)",3140,6
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602654.1202528,5221590729507,43.0,255.0,203.36341100515895,220611,21.0,255.0,193.2696807468741,160190,0.0,255.0,178.5938632209658,20553,"(255, 255, 242)",1,"(60.0, 0.008333333333333304, 0.5294117647058824)",770893,,0,,0,,0,,0,,0,"[60.0, 1.0, 0.9745098039215686]",28985,0,0,330405,1609,0,400001,0,0,490,0,0,237,0,0,217,0,0,4780,0,0,5778,0,0,0,0.0,0.09756097560975609,0.41304347826086957,1.0,1.0,42.74207936269022,0.5106281495973134,0.7489266929366841,1.0,63127,0.08431372549019608,1,0.5725490196078431,0.7980392156862746,0.9529411764705882,359146,6,"(60.0, 1.0, 0.9882352941176471)",20369,"(60.0, 1.0, 0.9745098039215686)",12169,"(0.0, 0.0, 1.0)",10626,"(60.0, 1.0, 0.9764705882352941)",10258,7
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602672.962389,5221590729508,43.0,245.0,165.3026036001484,10786,39.0,240.0,162.33749850674948,11200,0.0,238.0,157.53338782387817,10999,"(177, 173, 171)",5,"(217.49999999999991, 0.032786885245901634, 0.5215686274509803)",791599,"(0.0, 0.0, 0.7058823529411765)",1501,"(25.71428571428561, 0.029787234042553207, 0.5392156862745099)",841,"(17.142857142857075, 0.0316742081447964, 0.5666666666666667)",831,"(32.72727272727271, 0.043478260869565286, 0.49607843137254903)",473,,0,"[20.00000000000019, 0.03703703703703708, 0.6823529411764706]",74480,0,0,248340,15,0,312568,0,0,6151,0,0,54304,0,0,6763,0,0,48857,0,0,43782,0,0,0,0.0,0.021505376344086096,0.04615384615384613,0.1384615384615385,1.0,79.20356871771708,0.08882612206656072,0.6329319771844881,0.9294117647058824,1883,0.08431372549019608,1,0.5,0.6313725490196078,0.7784313725490195,99528,2,"(41.05263157894736, 0.26760563380281704, 0.8607843137254902)",1913,"(41.052631578947334, 0.28358208955223857, 0.8686274509803922)",1827,"(41.99999999999999, 0.27777777777777785, 0.8588235294117648)",1508,"(42.00000000000005, 0.26315789473684187, 0.8509803921568627)",1496,8
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52215907295,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA65DC1D50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602695.7171967,5221590729509,46.0,217.0,168.2220930624347,26914,28.0,182.0,130.71299960863288,27983,0.0,174.0,95.90353966933367,29049,"(178, 135, 98)",2,"(23.999999999999993, 0.2450980392156863, 0.4)",770801,"(31.15384615384615, 0.32500000000000007, 0.3137254901960784)",853,,0,,0,,0,,0,"[27.75, 0.3418803418803418, 0.5411764705882353]",2672,0,0,763335,159875,1,5643,348,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0.02702702702702703,0.2955465587044534,0.34513274336283195,0.38938053097345127,1.0,28.650710300882633,0.33080825302454164,0.5178934254644352,0.7137254901960784,5,0.09803921568627451,5,0.47058823529411764,0.5411764705882353,0.5803921568627451,0,13,"(28.500000000000004, 0.3539823008849558, 0.5568627450980392)",4341,"(28.53658536585365, 0.35344827586206906, 0.5450980392156863)",3725,"(28.46153846153846, 0.3545454545454546, 0.5686274509803921)",3032,"(31.058823529411775, 0.4228855721393035, 0.6058823529411765)",2976,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52222877320,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA5F8536D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602719.184556,5222287732000,0.0,240.0,145.43080873842592,152663,0.0,232.0,129.96489842732748,172538,0.0,220.0,109.1350028426559,147283,"(176, 158, 125)",888,"(36.52173913043478, 0.09704641350210966, 0.4647058823529412)",5400718,"(33.5294117647059, 0.15178571428571425, 0.4392156862745098)",78200,"(34.83870967741937, 0.1606217616580311, 0.3784313725490196)",66872,"(32.57142857142858, 0.17948717948717952, 0.38235294117647056)",45228,"(40.000000000000014, 0.09523809523809529, 0.5058823529411764)",37225,"(37.05882352941177, 0.16346153846153844, 0.40784313725490196)",35401,"[38.82352941176471, 0.24401913875598089, 0.5901960784313726]",193680,909,0,3493613,17366,3,3316792,22917,16,32531,177,0,14225,203,0,2143,8,0,5627,8,0,19277,156,0,19,0.0,0.1212121212121212,0.18181818181818188,0.2333333333333334,1.0,37.42947285292141,0.18439415997811837,0.4992639382333973,0.896078431372549,16,0.0,27,0.4274509803921569,0.5156862745098039,0.592156862745098,282,25943,"(35.74468085106384, 0.22705314009661837, 0.5941176470588235)",5577,"(35.0943396226415, 0.26108374384236466, 0.6019607843137256)",5184,"(33.599999999999994, 0.25510204081632654, 0.615686274509804)",5149,"(34.61538461538461, 0.2626262626262627, 0.611764705882353)",5060,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52222877320,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA5F8536D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698602944.356861,5222287732001,0.0,240.0,126.58497558060996,29868,0.0,232.0,114.10119499142723,21345,0.0,220.0,99.11952382189432,16604,"(149, 141, 132)",333,"(29.52380952380952, 0.2509960159362549, 0.5078431372549019)",352910,"(35.62499999999998, 0.24615384615384617, 0.7450980392156863)",8040,"(31.87500000000002, 0.19753086419753088, 0.3176470588235294)",5514,"(28.235294117647022, 0.14655172413793108, 0.5450980392156863)",5186,"(28.500000000000004, 0.19230769230769232, 0.40784313725490196)",4709,"(78.94736842105263, 0.15322580645161293, 0.48627450980392156)",4706,"[31.764705882352935, 0.074235807860262, 0.5509803921568628]",64815,417,0,360558,5444,2,307081,6975,4,13427,113,0,8248,104,0,1233,4,0,3476,7,0,11042,127,0,6,0.0,0.0826446280991735,0.11764705882352941,0.2,1.0,47.12582015325437,0.1626167074403744,0.44289468081096434,0.896078431372549,16,0.0,13,0.3431372549019608,0.4823529411764706,0.5352941176470588,282,10330,"(30.0, 0.07499999999999997, 0.5294117647058824)",1223,"(34.73684210526316, 0.07883817427385893, 0.5274509803921569)",922,"(34.73684210526316, 0.07818930041152265, 0.5235294117647059)",913,"(36.66666666666664, 0.07499999999999997, 0.5294117647058824)",887,1
