'flickr', 'using_id', 'img_loc', 'the_image', 'img_width', 'img_height', 'crop_coords', 'do_img_at', 'full_id', 'r_min', 'r_max', 'r_mean', 'r_mode', 'g_min', 'g_max', 'g_mean', 'g_mode', 'b_min', 'b_max', 'b_mean', 'b_mode', 'center_rgb', 'post_num_regions', 'post_top_hsl', 'post_top_count', 'post_2_hsl', 'post_2_count', 'post_3_hsl', 'post_3_count', 'post_4_hsl', 'post_4_count', 'post_5_hsl', 'post_5_count', 'post_6_hsl', 'post_6_count', 'center_hsl', 'full_red_count', 'visib_red_count', 'vivid_red_count', 'full_orange_count', 'visib_orange_count', 'vivid_orange_count', 'full_yellow_count', 'visib_yellow_count', 'vivid_yellow_count', 'full_green_count', 'visib_green_count', 'vivid_green_count', 'full_cyan_count', 'visib_cyan_count', 'vivid_cyan_count', 'full_blue_count', 'visib_blue_count', 'vivid_blue_count', 'full_purple_count', 'visib_purple_count', 'vivid_purple_count', 'full_mag_count', 'visib_mag_count', 'vivid_mag_count', 'vivid_count', 'sat_min_val', 'sat_25_val', 'sat_50_val', 'sat_75_val', 'sat_max_val', 'hue_mean_val', 'sat_mean_val', 'light_mean_val', 'light_max_val', 'light_max_count', 'light_min_val', 'light_min_count', 'light_25_value', 'light_50_value', 'light_75_value', 'gen_bright_count', 'gen_dark_count', 'common_hsl_1_val', 'common_hsl_1_count', 'common_hsl_2_val', 'common_hsl_2_count', 'common_hsl_3_val', 'common_hsl_3_count', 'common_hsl_4_val', 'common_hsl_4_count'
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52976682172,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3072x2304 at 0x1EA60012710>,3072,2304,"[(0, 0, 1013, 760), (0, 760, 1013, 1543), (0, 1543, 1013, 2304), (1013, 0, 2058, 760), (1013, 760, 2058, 1543), (1013, 1543, 2058, 2304), (2058, 0, 3072, 760), (2058, 760, 3072, 1543), (2058, 1543, 3072, 2304)]",1698599879.865084,5297668217207,0.0,255.0,173.96545857988167,127722,0.0,255.0,168.70074224021593,133272,0.0,255.0,175.40249662618083,142029,"(153, 160, 168)",23,"(180.0, 0.6000000000000023, 0.9901960784313726)",374950,"(83.99999999999999, 0.16129032258064457, 0.9392156862745098)",174477,"(210.0, 0.5, 0.9921568627450981)",63305,"(223.44827586206898, 0.2566371681415931, 0.7784313725490196)",47564,"(352.40506329113924, 0.5302013422818793, 0.707843137254902)",30773,"(12.00000000000007, 0.10638297872340427, 0.7235294117647059)",29396,"[212.0, 0.07936507936507936, 0.6294117647058823]",238723,25793,0,16594,1,0,23374,0,0,20466,0,0,189157,0,0,156446,0,0,64085,6,0,61795,7672,0,0,0.0,0.012145748987854208,0.03862660944206007,0.18461538461538454,1.0,168.82165002533822,0.1614834561605989,0.6782223636885463,1.0,138828,0.041176470588235294,2,0.4901960784313726,0.6745098039215687,0.892156862745098,215489,12,"(0.0, 0.0, 1.0)",120831,"(0.0, 0.0, 0.35294117647058826)",6096,"(216.00000000000009, 0.027027027027027004, 0.36274509803921573)",5992,"(224.99999999999983, 0.02197802197802198, 0.35686274509803917)",5893,7
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52976682172,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3072x2304 at 0x1EA60012710>,3072,2304,"[(0, 0, 1013, 760), (0, 760, 1013, 1543), (0, 1543, 1013, 2304), (1013, 0, 2058, 760), (1013, 760, 2058, 1543), (1013, 1543, 2058, 2304), (2058, 0, 3072, 760), (2058, 760, 3072, 1543), (2058, 1543, 3072, 2304)]",1698599900.928909,5297668217208,0.0,255.0,141.02755547494715,36118,0.0,255.0,137.7512412432837,35384,0.0,255.0,130.21571183507524,31829,"(64, 64, 64)",9,"(120.0, 0.023255813953488372, 0.33725490196078434)",579621,"(60.0, 1.0, 0.9980392156862745)",194595,"(120.0, 0.0120481927710843, 0.8372549019607843)",8282,"(26.666666666666664, 0.11392405063291143, 0.5352941176470588)",3570,"(206.6666666666668, 0.06569343065693428, 0.7313725490196079)",3175,"(220.00000000000006, 0.10112359550561797, 0.8254901960784313)",2339,"[0.0, 0.0, 0.25098039215686274]",227355,0,0,113810,0,0,290738,15445,12,12385,0,0,39462,0,0,76621,0,0,28759,0,0,4832,376,0,12,0.0,0.0,0.045454545454545456,0.1081081081081081,1.0,66.7520688325654,0.12803743490181219,0.5317055006978899,1.0,35951,0.0,58,0.32941176470588235,0.4823529411764706,0.7392156862745098,99672,550,"(0.0, 0.0, 1.0)",24898,"(0.0, 0.0, 0.2196078431372549)",14955,"(0.0, 0.0, 0.20784313725490197)",14034,"(0.0, 0.0, 0.23137254901960785)",13922,8
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52976682172,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3072x2304 at 0x1EA60012710>,3072,2304,"[(0, 0, 1013, 760), (0, 760, 1013, 1543), (0, 1543, 1013, 2304), (1013, 0, 2058, 760), (1013, 760, 2058, 1543), (1013, 1543, 2058, 2304), (2058, 0, 3072, 760), (2058, 760, 3072, 1543), (2058, 1543, 3072, 2304)]",1698599922.2001188,5297668217209,0.0,255.0,183.95174002856203,16283,0.0,255.0,181.0255541991618,20613,0.0,255.0,167.9036407509065,15825,"(195, 186, 164)",98,"(150.0, 0.16666666666666627, 0.9764705882352941)",432362,"(50.76923076923079, 0.09629629629629616, 0.7352941176470589)",72940,"(203.99999999999991, 0.022624434389140254, 0.43333333333333335)",46286,"(145.00000000000006, 0.05042016806722689, 0.4666666666666667)",31877,"(174.54545454545456, 0.08270676691729315, 0.7392156862745098)",15547,"(60.0, 0.045454545454545484, 0.43137254901960786)",15398,"[42.58064516129031, 0.20529801324503294, 0.7039215686274509]",19989,4273,171,7166,2,0,524944,2673,0,53741,2,0,119451,51,0,38284,0,0,5889,0,0,2190,0,0,171,0.0,0.06382978723404253,0.1586206896551724,0.267857142857143,1.0,85.29879099274933,0.1897229399237821,0.6912428723896724,1.0,7080,0.0,18,0.6294117647058823,0.7156862745098039,0.792156862745098,113081,1462,"(41.66666666666668, 0.25714285714285695, 0.7254901960784313)",2983,"(228.00000000000003, 0.02890173410404622, 0.3392156862745098)",2239,"(40.54054054054057, 0.25170068027210885, 0.7117647058823529)",2148,"(216.00000000000009, 0.02958579881656802, 0.3313725490196079)",2135,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698599949.695311,5252870552800,0.0,255.0,168.0658827887641,315361,0.0,255.0,154.17435907434535,330014,0.0,255.0,152.07234954833984,249875,"(228, 205, 190)",501,"(60.0, 0.02040816326530604, 0.903921568627451)",4227283,"(11.641791044776113, 0.3145539906103287, 0.5823529411764706)",578757,"(19.32203389830508, 0.27441860465116275, 0.5784313725490196)",474043,"(260.00000000000006, 0.02777777777777781, 0.4235294117647059)",134191,"(209.9999999999999, 0.45454545454545464, 0.9568627450980391)",126435,"(29.999999999999858, 0.035294117647058865, 0.6666666666666667)",123559,"[23.684210526315788, 0.41304347826086957, 0.8196078431372549]",1805336,136546,22,1765650,212784,36,1051761,24043,0,141606,0,0,753484,11562,477,768442,16559,357,358257,1,0,433352,46352,7,899,0.0,0.05306122448979591,0.1284916201117318,0.29756097560975614,1.0,129.46456096967896,0.20143021073909043,0.6236357819800284,1.0,320839,0.0,3,0.4627450980392157,0.6215686274509804,0.7647058823529411,974770,234,"(0.0, 0.0, 1.0)",204171,"(60.0, 1.0, 0.9980392156862745)",19218,"(180.0, 1.0, 0.9980392156862745)",11358,"(60.0, 1.0, 0.996078431372549)",11274,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600185.6987107,5252870552801,70.0,255.0,169.54947264508755,16658,46.0,255.0,168.67115524497325,14028,28.0,255.0,169.3172806151608,13653,"(151, 157, 162)",44,"(90.0, 0.0416666666666665, 0.9058823529411765)",636206,"(16.153846153846168, 0.29545454545454536, 0.8274509803921568)",21247,"(22.500000000000135, 0.1, 0.8431372549019607)",20503,"(0.0, 0.026666666666666766, 0.7058823529411764)",11257,"(24.705882352941195, 0.08292682926829266, 0.5980392156862745)",7831,"(14.75409836065574, 0.42657342657342673, 0.7196078431372549)",7800,"[207.2727272727272, 0.055837563451776595, 0.6137254901960785]",69008,1021,0,115358,10292,1,25077,6,0,83922,0,0,303516,0,0,145406,0,0,21096,0,0,6497,0,0,1,0.0,0.038251366120218594,0.06161137440758292,0.083743842364532,1.0,151.523052219539,0.10130592545761676,0.6651127015465615,1.0,15632,0.22549019607843138,2,0.5352941176470588,0.6529411764705881,0.7901960784313725,124450,0,"(0.0, 0.0, 1.0)",10446,"(120.0, 0.058823529411764476, 0.9)",1931,"(120.0, 0.05660377358490595, 0.896078431372549)",1823,"(120.0, 0.06122448979591812, 0.903921568627451)",1693,1
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600207.8604503,5252870552802,0.0,255.0,142.66910979602116,10584,0.0,255.0,141.3352946361118,19976,0.0,255.0,149.53678922185847,26674,"(120, 115, 110)",150,"(17.454545454545453, 0.29411764705882354, 0.6333333333333333)",147743,"(210.00000000000009, 0.41666666666666685, 0.9529411764705882)",123247,"(222.3529411764706, 0.08457711442786069, 0.3941176470588235)",66434,"(246.66666666666677, 0.06122448979591844, 0.28823529411764703)",45318,"(240.0, 0.07096774193548389, 0.303921568627451)",27740,"(240.0, 0.021739130434782605, 0.36078431372549025)",27601,"[30.0, 0.04347826086956519, 0.45098039215686275]",122720,4827,0,147201,2364,0,61389,0,0,2786,0,0,107860,11549,477,259129,14115,357,53604,1,0,39511,4396,0,834,0.0,0.051724137931034475,0.10047846889952144,0.22368421052631574,1.0,151.1581139021672,0.18223417741504924,0.5714275680052932,1.0,25644,0.0,1,0.403921568627451,0.5392156862745098,0.711764705882353,87648,104,"(0.0, 0.0, 1.0)",5616,"(180.0, 1.0, 0.996078431372549)",2904,"(180.0, 1.0, 0.9980392156862745)",2328,"(180.0, 1.0, 0.9941176470588236)",2302,2
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600237.293277,5252870552803,0.0,255.0,141.2024914356898,16078,0.0,239.0,122.26441269594103,24905,0.0,244.0,123.25013625038929,19882,"(148, 110, 102)",77,"(11.641791044776113, 0.3145539906103287, 0.5823529411764706)",334302,"(251.99999999999994, 0.022831050228310484, 0.4294117647058824)",115972,"(38.57142857142861, 0.10447761194029834, 0.7372549019607844)",81214,"(321.8181818181818, 0.6346153846153848, 0.7960784313725491)",40222,"(235.0, 0.061855670103092786, 0.3803921568627451)",13938,"(4.28571428571439, 0.07526881720430109, 0.6352941176470588)",12621,"[10.434782608695652, 0.18400000000000002, 0.4901960784313726]",223204,3003,0,161270,3796,0,114348,842,0,459,0,0,4112,0,0,85628,0,0,79722,0,0,101897,13657,2,2,0.0,0.06849315068493156,0.11627906976744184,0.19327731092436978,1.0,139.45648940361593,0.15357902824587882,0.5109359829263375,0.9313725490196079,35,0.06666666666666667,1,0.3764705882352941,0.47647058823529415,0.6372549019607843,4267,12,"(221.25, 0.08888888888888888, 0.35294117647058826)",3107,"(220.00000000000003, 0.08196721311475412, 0.3588235294117647)",2944,"(221.25, 0.09090909090909091, 0.34509803921568627)",2886,"(221.24999999999994, 0.08602150537634409, 0.36470588235294116)",2697,3
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600264.4109254,5252870552804,50.0,255.0,198.5595949968418,86634,46.0,255.0,200.61530121195847,93782,39.0,255.0,196.59021860134976,75314,"(181, 204, 198)",14,"(60.0, 0.09090909090909059, 0.9352941176470588)",494691,"(0.0, 0.0, 0.996078431372549)",270823,"(180.0, 0.019230769230769437, 0.7960784313725491)",13029,"(31.200000000000028, 0.1396648044692737, 0.6490196078431372)",4482,"(270.0, 0.011627906976744143, 0.6627450980392157)",2785,"(218.18181818181816, 0.14285714285714307, 0.8490196078431372)",1499,"[164.3478260869565, 0.18400000000000005, 0.7549019607843137]",121351,0,0,34230,6,0,296709,0,0,29451,0,0,173983,0,0,72221,0,0,48856,0,0,16378,0,0,0,0.0,0.015873015873015817,0.10144927536231887,0.18181818181818263,1.0,109.12272667154599,0.14028140173002834,0.776577457764955,1.0,89321,0.17450980392156862,1,0.6666666666666667,0.8,0.9176470588235295,292681,0,"(0.0, 0.0, 1.0)",67485,"(60.0, 1.0, 0.9980392156862745)",4879,"(75.0, 0.14285714285714227, 0.9450980392156862)",2744,"(180.0, 1.0, 0.9980392156862745)",2723,4
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600286.1780295,5252870552805,0.0,255.0,138.60954860156312,25439,0.0,255.0,131.30702915421608,20605,0.0,255.0,135.73810213447237,22487,"(228, 204, 188)",65,"(240.0, 0.015706806282722457, 0.6254901960784314)",727321,"(244.99999999999997, 0.053571428571428645, 0.5607843137254902)",10066,"(37.99999999999997, 0.18292682926829273, 0.6784313725490196)",4701,"(18.46153846153851, 0.09090909090909098, 0.7196078431372549)",4115,"(15.999999999999936, 0.09090909090909095, 0.6764705882352942)",3644,"(286.1538461538462, 0.05485232067510547, 0.4647058823529412)",3275,"[24.0, 0.42553191489361697, 0.8156862745098039]",190664,2004,0,147769,100,0,55384,73,0,1345,0,0,14713,13,0,180474,2444,0,128716,0,0,99170,1320,0,0,0.0,0.023923444976076538,0.05833333333333336,0.16256157635467985,1.0,169.47240361126623,0.12793979810097109,0.5339673738200481,1.0,26688,0.0,2,0.37450980392156863,0.48627450980392156,0.6588235294117647,62210,89,"(0.0, 0.0, 1.0)",14639,"(229.99999999999997, 0.13953488372093023, 0.33725490196078434)",5702,"(229.99999999999997, 0.14285714285714285, 0.32941176470588235)",5649,"(230.4, 0.1515151515151515, 0.3235294117647059)",4704,5
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52528705528,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1EA7FD5C710>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698600312.1529324,5252870552806,43.0,255.0,168.72663679118145,10313,0.0,255.0,133.7256644524549,13780,0.0,255.0,131.66083515331968,14002,"(173, 146, 112)",107,"(41.6949152542373, 0.5728155339805823, 0.7980392156862746)",140297,"(15.999999999999982, 0.2941176470588236, 0.6)",102717,"(311.99999999999994, 0.022624434389140254, 0.43333333333333335)",92984,"(279.99999999999983, 0.02752293577981655, 0.5725490196078431)",77084,"(327.5, 0.4499999999999999, 0.6862745098039216)",48121,"(6.12244897959183, 0.20000000000000007, 0.5196078431372549)",40280,"[33.442622950819654, 0.27111111111111114, 0.5588235294117647]",308035,29150,22,198469,6783,0,122893,6514,0,117,0,0,1802,0,0,6324,0,0,19140,0,0,137182,26542,5,27,0.0,0.14655172413793108,0.23809523809523814,0.3555555555555555,1.0,148.01898297415119,0.2726362694578158,0.5751769050437587,0.9862745098039216,28,0.10392156862745099,2,0.4549019607843137,0.5588235294117647,0.6823529411764706,47011,7,"(320.0, 0.01639344262295076, 0.3588235294117647)",476,"(340.00000000000006, 0.01604278074866312, 0.3666666666666667)",465,"(319.9999999999999, 0.01587301587301589, 0.37058823529411766)",460,"(339.99999999999983, 0.016574585635359136, 0.3549019607843137)",448,6
