'flickr', 'using_id', 'img_loc', 'the_image', 'img_width', 'img_height', 'crop_coords', 'do_img_at', 'full_id', 'r_min', 'r_max', 'r_mean', 'r_mode', 'g_min', 'g_max', 'g_mean', 'g_mode', 'b_min', 'b_max', 'b_mean', 'b_mode', 'center_rgb', 'post_num_regions', 'post_top_hsl', 'post_top_count', 'post_2_hsl', 'post_2_count', 'post_3_hsl', 'post_3_count', 'post_4_hsl', 'post_4_count', 'post_5_hsl', 'post_5_count', 'post_6_hsl', 'post_6_count', 'center_hsl', 'full_red_count', 'visib_red_count', 'vivid_red_count', 'full_orange_count', 'visib_orange_count', 'vivid_orange_count', 'full_yellow_count', 'visib_yellow_count', 'vivid_yellow_count', 'full_green_count', 'visib_green_count', 'vivid_green_count', 'full_cyan_count', 'visib_cyan_count', 'vivid_cyan_count', 'full_blue_count', 'visib_blue_count', 'vivid_blue_count', 'full_purple_count', 'visib_purple_count', 'vivid_purple_count', 'full_mag_count', 'visib_mag_count', 'vivid_mag_count', 'vivid_count', 'sat_min_val', 'sat_25_val', 'sat_50_val', 'sat_75_val', 'sat_max_val', 'hue_mean_val', 'sat_mean_val', 'light_mean_val', 'light_max_val', 'light_max_count', 'light_min_val', 'light_min_count', 'light_25_value', 'light_50_value', 'light_75_value', 'gen_bright_count', 'gen_dark_count', 'common_hsl_1_val', 'common_hsl_1_count', 'common_hsl_2_val', 'common_hsl_2_count', 'common_hsl_3_val', 'common_hsl_3_count', 'common_hsl_4_val', 'common_hsl_4_count'
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51278877462,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x214F3B04A50>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698546331.2529156,5127887746200,0.0,255.0,118.33762951033545,103848,0.0,255.0,111.12071461023798,120398,0.0,255.0,121.38600235034926,93032,"(66, 61, 72)",277,"(39.000000000000064, 0.26315789473684187, 0.8509803921568627)",1855729,"(250.43478260869566, 0.20353982300884954, 0.22156862745098038)",378039,"(247.05882352941174, 0.31481481481481477, 0.21176470588235297)",210534,"(53.68421052631581, 0.575757575757576, 0.9352941176470588)",172839,"(249.60000000000002, 0.1773049645390071, 0.27647058823529413)",53328,"(232.94117647058826, 0.3669064748201439, 0.27254901960784317)",19669,"[267.2727272727273, 0.0827067669172932, 0.2607843137254902]",187373,37,4,351362,19,1,698602,2,0,321,0,0,16820,166,0,193579,17193,0,1407230,15002,0,296585,5,0,5,0.0,0.10303030303030304,0.2040816326530612,0.32432432432432423,1.0,177.32296258225085,0.23506658942009337,0.4627017276107161,1.0,19666,0.041176470588235294,53,0.2588235294117647,0.3411764705882353,0.7313725490196079,411303,66291,"(252.00000000000003, 0.30973451327433627, 0.2215686274509804)",17197,"(254.21052631578945, 0.3584905660377359, 0.20784313725490194)",16906,"(252.72727272727272, 0.27731092436974786, 0.23333333333333334)",16633,"(253.125, 0.2580645161290323, 0.2431372549019608)",15613
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698546919.068595,5261783340800,46.0,255.0,170.2554475289804,121947,53.0,255.0,162.14083353678384,144966,0.0,255.0,144.52588639435945,143390,"(199, 197, 179)",76,"(60.0, 0.06358381502890183, 0.6607843137254902)",6942759,"(107.99999999999996, 0.07142857142857147, 0.27450980392156865)",36396,"(44.04255319148936, 0.45631067961165045, 0.596078431372549)",9101,"(31.111111111111104, 0.15606936416184983, 0.6607843137254902)",4964,"(50.76923076923081, 1.0, 0.9745098039215686)",4410,"(97.49999999999987, 0.09523809523809526, 0.8352941176470587)",2676,"[54.00000000000003, 0.15151515151515157, 0.7411764705882353]",8842,484,0,1849138,8148,0,4938237,89983,0,269909,0,0,10843,0,0,119,0,0,287,0,0,513,35,0,0,0.0,0.08108108108108104,0.11382113821138212,0.21848739495798314,1.0,46.70563042162249,0.18213737593561094,0.6181269000904572,0.9980392156862745,10922,0.13725490196078433,1,0.5078431372549019,0.5941176470588235,0.7392156862745098,453011,1,"(32.14285714285713, 0.2456140350877195, 0.7764705882352941)",8038,"(41.99999999999997, 0.11235955056179768, 0.6509803921568628)",5519,"(32.14285714285713, 0.25000000000000017, 0.7803921568627451)",5318,"(34.28571428571427, 0.2456140350877195, 0.7764705882352941)",5089
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547110.2253382,5261783340801,93.0,214.0,152.58354548760846,26334,96.0,213.0,140.57391801319687,27235,46.0,209.0,123.02995921442303,35339,"(136, 124, 107)",8,"(55.00000000000002, 0.0697674418604652, 0.6627450980392157)",761288,"(46.15384615384608, 0.09090909090909098, 0.7196078431372549)",2211,"(51.130434782608695, 0.4893617021276595, 0.5392156862745098)",1712,"(71.99999999999996, 0.04032258064516126, 0.48627450980392156)",1212,"(65.99999999999997, 0.04098360655737701, 0.5215686274509803)",1152,"(57.93103448275863, 0.3411764705882352, 0.6666666666666667)",1005,"[35.172413793103445, 0.11934156378600821, 0.4764705882352941]",109,0,0,315447,2013,0,410109,7623,0,43734,0,0,478,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.06504065040650413,0.10132158590308366,0.18367346938775506,0.6101694915254237,45.13597898501448,0.13121276900547524,0.5413371042291288,0.8196078431372549,178,0.3627450980392157,3,0.4784313725490196,0.5117647058823529,0.5764705882352941,0,0,"(42.85714285714288, 0.08936170212765955, 0.4607843137254902)",1455,"(39.99999999999999, 0.09012875536480684, 0.45686274509803926)",1451,"(82.50000000000003, 0.03508771929824561, 0.4470588235294118)",1302,"(40.0, 0.09090909090909095, 0.45294117647058824)",1293,1
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547131.3950117,5261783340802,112.0,255.0,182.59953538151598,13496,110.0,255.0,171.58570763031983,23443,56.0,252.0,153.32668849156383,27447,"(151, 133, 115)",23,"(64.28571428571426, 0.05691056910569103, 0.48235294117647054)",752939,"(43.33333333333329, 0.12328767123287666, 0.7137254901960784)",7382,"(38.18181818181819, 0.1341463414634147, 0.6784313725490196)",5525,"(34.499999999999964, 0.19417475728155342, 0.5960784313725491)",4459,"(60.0, 0.05263157894736843, 0.7019607843137254)",2256,"(66.66666666666664, 0.0647482014388489, 0.7274509803921569)",2093,"[30.000000000000014, 0.14754098360655737, 0.5215686274509804]",30,0,0,342963,1223,0,428485,14242,0,21871,0,0,849,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0901960784313725,0.15053763440860207,0.2626728110599078,1.0,42.546840932325566,0.2038556207645615,0.6592297440759232,0.9941176470588236,1100,0.41568627450980394,2,0.5411764705882353,0.6352941176470588,0.7784313725490196,54599,0,"(32.14285714285716, 0.2372881355932202, 0.7686274509803921)",2284,"(32.14285714285713, 0.2456140350877195, 0.7764705882352941)",2054,"(31.111111111111075, 0.21951219512195116, 0.7588235294117647)",1934,"(31.034482758620687, 0.2566371681415931, 0.7784313725490196)",1523,2
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547457.393556,5298965193600,34.0,255.0,180.20305365103263,226418,0.0,255.0,167.4801307960793,182860,0.0,255.0,148.6610415423358,132964,"(179, 164, 142)",44,"(20.00000000000005, 0.09677419354838718, 0.7568627450980392)",4262358,"(31.874999999999993, 0.1553398058252427, 0.596078431372549)",2503000,"(36.77419354838707, 0.6326530612244903, 0.903921568627451)",199346,"(23.999999999999936, 0.13513513513513506, 0.8549019607843138)",46796,"(35.55555555555556, 0.14917127071823208, 0.3549019607843137)",6334,"(41.37931034482757, 0.12236286919831228, 0.4647058823529412)",5377,"[35.675675675675706, 0.19576719576719567, 0.6294117647058823]",161639,0,0,2456864,631,0,4318521,1589,0,3607,0,0,7240,0,0,23507,0,0,56199,0,0,50311,0,0,0,0.0,0.13793103448275856,0.17948717948717957,0.24848484848484845,1.0,41.0897262132341,0.21742565689263402,0.644764659884362,1.0,63804,0.07647058823529412,28,0.5549019607843138,0.6333333333333333,0.7333333333333334,644189,588,"(0.0, 0.0, 1.0)",37394,"(35.000000000000036, 0.16363636363636355, 0.5686274509803921)",19596,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",19377,"(34.99999999999998, 0.1621621621621621, 0.5647058823529412)",17177
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547638.6865764,5298965193601,122.0,255.0,174.56181482828492,75842,110.0,255.0,163.63703044630333,52941,90.0,255.0,149.96119395230426,40486,"(137, 127, 114)",7,"(30.96774193548387, 0.15121951219512195, 0.5980392156862745)",624648,"(240.0, 0.3333333333333365, 0.9882352941176471)",89544,"(23.999999999999936, 0.13513513513513506, 0.8549019607843138)",44787,"(20.00000000000005, 0.09677419354838718, 0.7568627450980392)",5804,"(330.0, 0.19999999999999943, 0.9803921568627451)",2185,"(31.200000000000028, 0.11961722488038275, 0.5901960784313725)",1718,"[33.913043478260875, 0.09163346613545811, 0.49215686274509807]",26726,0,0,379786,0,0,291607,0,0,224,0,0,577,0,0,15879,0,0,33947,0,0,21134,0,0,0,0.0,0.1158798283261803,0.13913043478260878,0.1612903225806452,1.0,56.82617992433092,0.1636291921883539,0.6360179814119237,1.0,16555,0.42549019607843136,7,0.5627450980392157,0.5764705882352941,0.6490196078431373,99313,0,"(35.000000000000036, 0.16363636363636355, 0.5686274509803921)",9628,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",9021,"(34.99999999999998, 0.1621621621621621, 0.5647058823529412)",8569,"(0.0, 0.0, 1.0)",7143,1
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547657.9222243,5298965193602,84.0,255.0,189.1103021908839,50233,59.0,254.0,176.11307479224376,41527,0.0,247.0,157.84971543691765,34306,"(188, 175, 159)",9,"(35.67567567567568, 0.16894977168949776, 0.5705882352941176)",550017,"(0.0, 0.11475409836065578, 0.8803921568627451)",200040,"(30.0, 0.11711711711711721, 0.5647058823529412)",18223,"(31.199999999999996, 0.3124999999999999, 0.6862745098039216)",16169,"(31.19999999999996, 0.11312217194570134, 0.5666666666666667)",5171,"(28.799999999999986, 0.10373443983402494, 0.4725490196078431)",2239,"[33.10344827586206, 0.17791411042944794, 0.6803921568627451]",4151,0,0,368676,5,0,421079,13,0,3,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0.01185770750988138,0.16071428571428573,0.17514124293785316,0.2499999999999995,1.0,35.073636331771006,0.2322536353678065,0.680311155386355,0.9843137254901961,7,0.16666666666666666,5,0.5764705882352941,0.6647058823529411,0.7137254901960784,124775,0,"(37.71428571428574, 0.15837104072398184, 0.5666666666666667)",8437,"(37.71428571428574, 0.15981735159817345, 0.5705882352941176)",8285,"(37.71428571428574, 0.15695067264573986, 0.5627450980392157)",7040,"(35.00000000000001, 0.16513761467889912, 0.5725490196078431)",6978,2
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547678.2514205,5298965193603,78.0,255.0,185.71934625765599,42134,59.0,255.0,174.746322537112,20499,0.0,255.0,156.03781272708397,21724,"(101, 95, 76)",10,"(32.50000000000003, 0.14285714285714288, 0.6705882352941177)",374484,"(32.857142857142826, 0.3, 0.7254901960784315)",303637,"(32.49999999999999, 0.32000000000000006, 0.7058823529411765)",70702,"(45.00000000000005, 0.047619047619047616, 0.5058823529411764)",9977,"(45.0, 0.06666666666666667, 0.47058823529411764)",2820,"(42.35294117647065, 0.12056737588652479, 0.7235294117647059)",2725,"[45.600000000000016, 0.14124293785310732, 0.34705882352941175]",14875,0,0,224047,401,0,530648,345,0,292,0,0,473,0,0,1,0,0,63,0,0,241,0,0,0,0.0,0.14876033057851235,0.1838565022421525,0.3131313131313132,1.0,38.36884770462596,0.26713514960855606,0.6701167809592435,1.0,19550,0.1568627450980392,7,0.5058823529411764,0.6862745098039216,0.792156862745098,125105,0,"(0.0, 0.0, 1.0)",13825,"(32.30769230769227, 0.1511627906976744, 0.6627450980392158)",3249,"(49.090909090909115, 0.19642857142857123, 0.7803921568627451)",2971,"(37.142857142857146, 0.1926605504587156, 0.5725490196078431)",2790,3
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547698.376266,5298965193604,114.0,255.0,171.52501011751446,43515,103.0,255.0,162.25579976272695,46612,90.0,255.0,153.6116261272676,23444,"(153, 145, 139)",6,"(13.846153846153817, 0.10743801652892546, 0.7627450980392156)",757511,"(0.0, 0.0, 0.996078431372549)",28370,"(252.00000000000003, 0.3846153846153838, 0.9745098039215686)",2326,"(275.99999999999983, 0.06849315068493166, 0.8568627450980393)",2102,"(45.0, 0.33333333333333254, 0.9764705882352941)",1882,"(0.0, 1.0, 0.9980392156862745)",988,"[25.71428571428573, 0.06422018348623856, 0.5725490196078431]",109169,0,0,493536,0,0,131003,0,0,278,0,0,1389,0,0,7587,0,0,22099,0,0,28118,0,0,0,0.0,0.07142857142857138,0.09259259259259266,0.12888888888888894,1.0,53.006968909329636,0.11211489117700978,0.63712917310236,1.0,22997,0.4,5,0.5549019607843138,0.5980392156862745,0.6843137254901961,62015,0,"(0.0, 0.0, 1.0)",14077,"(36.77419354838708, 0.1353711790393014, 0.5509803921568628)",4049,"(34.83870967741934, 0.1365638766519824, 0.5549019607843138)",3888,"(35.624999999999986, 0.13913043478260878, 0.5490196078431373)",3825,4
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547717.8092408,5298965193605,56.0,253.0,173.58859007497847,32215,0.0,243.0,160.7205533862521,35356,0.0,241.0,139.666557895959,26174,"(180, 165, 143)",12,"(36.66666666666666, 0.1592920353982301, 0.5568627450980392)",652127,"(14.999999999999947, 0.28571428571428614, 0.9450980392156862)",138826,"(36.52173913043478, 0.30263157894736825, 0.7019607843137254)",6485,"(36.428571428571416, 0.15555555555555556, 0.3529411764705882)",6310,"(32.50000000000003, 0.18749999999999992, 0.7490196078431373)",5372,"(39.57446808510638, 0.251336898395722, 0.6333333333333333)",2558,"[35.67567567567568, 0.19786096256684502, 0.6333333333333333]",1091,0,0,125253,6,0,691888,213,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.035573122529644195,0.1525423728813559,0.1770334928229664,0.2197802197802198,1.0,37.41895275634061,0.207865888578291,0.6142258114878306,0.9607843137254901,591,0.10980392156862745,3,0.5313725490196078,0.5784313725490196,0.6686274509803922,71784,42,"(38.918918918918905, 0.15744680851063836, 0.5392156862745099)",5674,"(37.29729729729729, 0.2189349112426036, 0.6686274509803922)",5580,"(37.29729729729729, 0.21637426900584802, 0.6647058823529413)",5329,"(37.7142857142857, 0.15555555555555559, 0.5588235294117647)",4886,5
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52989651936,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x1D2F9387F50>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698547738.7346957,5298965193606,43.0,255.0,169.5901818978742,30898,21.0,255.0,156.65397336396452,29636,0.0,255.0,134.83226401263536,25687,"(159, 140, 115)",10,"(45.71428571428575, 0.10994764397905749, 0.6254901960784314)",526176,"(45.00000000000004, 0.12658227848101258, 0.6901960784313725)",217353,"(34.00000000000004, 0.4054054054054052, 0.8549019607843137)",39045,"(41.37931034482757, 0.12236286919831228, 0.4647058823529412)",5368,"(32.432432432432435, 0.1753554502369668, 0.4137254901960784)",1538,"(27.428571428571438, 0.1555555555555555, 0.4411764705882353)",1199,"[34.0909090909091, 0.18644067796610167, 0.5372549019607843]",2433,0,0,200799,11,0,590215,88,0,117,0,0,223,0,0,12,0,0,9,0,0,154,0,0,0,0.0,0.14285714285714274,0.19047619047619047,0.2131147540983607,1.0,39.21192344596503,0.22197197455379383,0.59690876448821,1.0,4702,0.08431372549019608,8,0.47058823529411764,0.580392156862745,0.7058823529411764,64232,15,"(36.315789473684205, 0.20652173913043484, 0.6392156862745098)",6114,"(35.67567567567568, 0.20218579234972686, 0.6411764705882352)",5277,"(34.2857142857143, 0.19337016574585647, 0.6450980392156862)",3899,"(44.21052631578948, 0.08837209302325576, 0.4215686274509804)",3714,6
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",53127747581,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x28BFF25D790>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698548797.1854749,5312774758100,0.0,255.0,153.71827663052306,61071,0.0,255.0,144.13603788478719,73379,0.0,245.0,139.1040740233106,84768,"(141, 132, 125)",164,"(331.4285714285714, 0.10994764397905749, 0.6254901960784314)",2739779,"(22.50000000000006, 0.13636363636363635, 0.6549019607843136)",70744,"(237.27272727272725, 0.09166666666666663, 0.47058823529411764)",49953,"(246.00000000000006, 0.08000000000000006, 0.5098039215686274)",38629,"(41.24999999999996, 0.3478260869565217, 0.9098039215686274)",19627,"(0.0, 0.02202643171806172, 0.5549019607843138)",14123,"[26.250000000000043, 0.06557377049180334, 0.5215686274509804]",489086,122,0,1462638,587,1,471073,10163,1,9182,0,0,58687,0,0,114646,13,0,389164,16,0,157396,18,0,2,0.0,0.055555555555555525,0.09090909090909091,0.14583333333333334,1.0,91.6778504194098,0.1311719659192648,0.5727816364245707,0.9803921568627452,1000,0.0,4,0.48235294117647054,0.5725490196078431,0.6529411764705881,155196,524,"(30.0, 0.07499999999999997, 0.5294117647058824)",2180,"(24.444444444444468, 0.15606936416184983, 0.6607843137254902)",2124,"(24.827586206896576, 0.15025906735751302, 0.6215686274509804)",2064,"(24.444444444444432, 0.15789473684210523, 0.6647058823529413)",2059
