Sr. No.,Occupation,Name,Gender
1,Martial Artist,Bazuzu,Male
2,Martial Artist,Bomb,Male
3,Martial Artist,Charanko,Male
4,Martial Artist,Dave,Male
5,Martial Artist,Gatlin,Male
6,Martial Artist,Jakumen,Male
7,Martial Artist,Lin Lin,Female
8,Martial Artist,Mentai,Male
9,Martial Artist,Sour Face,Male
10,Martial Artist,Suicho,Male
11,Martial Artist,Suiryu,Male
12,Martial Artist,Suiko,Female
13,Martial Artist,Zakos,Male
14,Swordmaster,Amahare,Male
15,Swordmaster,Nichirin,Male
16,Swordmaster,Zanbai,Male
17,Police,Chief Kuma,Male
18,Police,Chief Kuma's Subordinate,Male
19,Mercenary,Asami,Female
20,Mercenary,Chinpi,Male
21,Mercenary,Gomago,Male
22,Mercenary,Noria,Female
23,Mercenary,Sanshon,Male
24,Mercenary,Sosshi,Male
25,Mercenary,Captain Tongara,Male
26,Judge, Cleopatra,Female
27,Scientist,Dr. Kuseno,Male
28,Actress,Kiiro,Female
29,Show Host,Emcee,Female
20,Student,NEET evacuee,Male
21,Judge,Natalie Ver.9,Female
22,Fortune Teller,Shibabawa,Female
23,Teacher,Saitama's Teacher,Male
24,Student,Ball-Chinned Kid,Male
25,Office Worker,Suicidal Man,Male
26,Announcer,Super Fight Announcer,Male
27,Bullie/Student,Tacchan,Male
28,Student,Tareo,Male
29,Head Judge,Torajirou,Male
30,Unemployed,Torako's Owner,Female
31,Unemployed,Tarao,Male
32,Student,Waganma,Male
33,Student,Zeniru,Male
34,Student,Zenko,Female
