Sr. No.,Affiliation,Name,Gender
1,Tsukuyomi,Apollo,Male
2,Mediocre Ability Users,Enjoe,Male
3,Mediocre Ability Users,Brut,Male
4,Mediocre Ability Users,Chemonille,Male
5,Cow's Stomach Gang,Bull-Bull,Male
6,Cow's Stomach Gang,Calf-Calf,Male
7,Cow's Stomach Gang,Cow-Cow,Male
8,Unaffiliated,Aburabozu,Male
9,Unaffiliated,Banero,Male
10,Unaffiliated,Burigura,Male
11,Unaffiliated,Chimagusa,Male
12,Unaffiliated,Devil Storm,Male
13,Unaffiliated,Fukegao,Male
14,Unaffiliated,Harold,Male
15,Unaffiliated,Hyaha Axe,Male
16,Unaffiliated,Serial Bomber,Male
17,Unaffiliated,Speed-O-Sonic,Male
18,Paradise Group,Hammerhead,Male
19,House of Evolution,Dr. Genus,Male
20,House of Evolution,Armored Gorilla,Male
21,House of Evolution,Carnage Kabuto,Male
22,House of Evolution,Beast King,Male
23,House of Evolution,Frog Man,Male
24,House of Evolution,Ground Dragon,Male
25,House of Evolution,Mosquito Girl,Female
26,House of Evolution,Kamakyuri,Male
27,House of Evolution,Slugerous,Male
28,Dark Matter Thieves,Boros,Male
29,Dark Matter Thieves,Geryuganshoop,Unidentified
30,Dark Matter Thieves,Groribas,Male
31,Dark Matter Thieves,Melzargard,Male
32,Dark Matter Thieves,Dark Matter Gunner,Male
33,The Organization,G4,Unidentified
34,The Organization,G5,Unidentified
35,Mother Earth,170000-Year-Old Cicada Adult,Unidentified
36,Mother Earth,170000-Year-Old Cicada Larva,Unidentified
37,Mother Earth,Vaccine Man,Male
38,Monster Association,Awakened Cockroach,Male
39,Monster Association,Base B,Male
40,Monster Association,Bakuzan,Male
41,Monster Association,Baquma,Male
42,Monster Association,Benpatsu,Male
43,Monster Association,Black Sperm,Male
44,Monster Association,Bug God,Male
45,Monster Association,Building Booper,Male
46,Monster Association,Choze,Male
47,Monster Association,Demolition John,Male
48,Monster Association,Destrochloridium,Male
49,Monster Association,Devil Long Hair,Male
50,Monster Association,Do-S,Female
51,Monster Association,Elder Centipede,Male
52,Monster Association,Electric Catfish Man,Male
53,Monster Association,Evil Eye,Male
54,Monster Association,Evil Natural Water,Unidentified
55,Monster Association,Eyesight,Female
56,Monster Association,Face Ripper,Male
57,Monster Association,Fist Fight Djinn,Male
58,Monster Association,Free Hugger,Male
59,Monster Association,Fuhrer Ugly,Male
60,Monster Association,Gale Wind,Male
61,Monster Association,Gouketsu,Male
62,Monster Association,The Great Food Tub,Male
63,Monster Association,Gyoffrey,Male
64,Monster Association,Gyoro Gyoro,Male
65,Monster Association,Gums,Male
66,Monster Association,Goldern Sperm,Male
67,Monster Association,Hamukichi,Male
68,Monster Association,Haragiri,Male
69,Monster Association,Hellfire Flame,Male
70,Monster Association,Homeless Emperor,Male
71,Monster Association,Hundred-Eyes Octopus,Unidentified
72,Monster Association,Junior Centipede,Male
73,Monster Association,Mad Doctor Fish,Unidentified
74,Monster Association,Master Joe,Male
75,Monster Association,Maiko Plasma,Female
76,Monster Association,Marshall Gorilla,Male
77,Monster Association,Manako,Male
78,Monster Association,Nyan ,Female
79,Monster Association,Orochi,Male
80,Monster Association,Overgrown Rover,Male
81,Monster Association,Phoenix Man,Male
82,Monster Association,Psykos,Female
83,Monster Association,Platinum Sperm,Male
84,Monster Association,Rafflesidon,Male
85,Monster Association,Raptora,Female
86,Monster Association,Reptera,Female
87,Monster Association,Rhino Wrestler,Male
88,Monster Association,Rosie,Male
89,Monster Association,Royal Ripper,Male
90,Monster Association,Senior Centipede,Male
91,Monster Association,Showerhead,Male
92,Monster Association,Sludge  Jellyfish,Male
93,Monster Association,Sword Devil Executioner,Male
94,Monster Association,Smelly Lid Old Man,Male
95,Monster Association,Special Moves Mile,Male
96,Monster Association,Super Mouse,Male
97,Monster Association,The Three Crows,Male
98,Monster Association,Unihorn,Male
99,Monster Association,Vampire(Pureblood),Male
100,Monster Association,Venus Mantrap,Male
101,Monster Association,Volten,Male
102,Unaffiliated,Alien Seer,Male
103,Unaffiliated,Ancient King,Male
104,Unaffiliated,Autumn Phantom Red Golden-rigged Dragonfly,Male
105,Unaffiliated,Black Roast,Male
106,Unaffiliated,Crablante,Male
107,Unaffiliated,Deep Sea King,Male
108,Unaffiliated,Delorean,Male
109,Unaffiliated,Demonic Fan,Unidentified
110,Unaffiliated,Dark,Male
111,Unaffiliated,Eagle,Male
112,Unaffiliated,Enamel,Male
113,Unaffiliated,Evil Ocean Water,Unidentified
114,Unaffiliated,Falcon,Male
115,Unaffiliated,Fighting Bull-Frog,Male
116,Unaffiliated,Game-Berus,Male
117,Unaffiliated,Giant Crow,Unidentified
118,Unaffiliated,Giant Snowman,Male
119,Unaffiliated,Gigakigan,Male
120,Unaffiliated,God ,Male
121,Unaffiliated,Grizzly Nyah,Female
122,Unaffiliated,Hawk,Male
123,Unaffiliated,Himawari,Female
124,Unaffiliated,Hotdog,Male
125,Unaffiliated,Giant Salamander,Male
126,Unaffiliated,Jumping Spider,Male
127,Unaffiliated,Kite,Female
128,Unaffiliated,Kombu Infinity,Unidentified
129,Unaffiliated,Lord Great White,Male
130,Unaffiliated,Lord of Mountains,Male
131,Unaffiliated,Macho Daikon,Male
132,Unaffiliated,Marudori,Male
133,Unaffiliated,Men's Esthetican Man,Male
134,Unaffiliated,Messenger of the Seafolk,Male
135,Unaffiliated,Octopus Claw Man,Male
136,Unaffiliated,Personification of A Light Pull Cord,Male
137,Unaffiliated,Piggy Bancon,Male
138,Unaffiliated,Pluton,Male
139,Unaffiliated,Research Hybrid Monster,Male
140,Unaffiliated,Scaledon,Male
141,Unaffiliated,Sea Slug,Unidentified
142,Unaffiliated,Seafolk,Both
143,Unaffiliated,Sky King,Male
144,Unaffiliated,Skyfolk,Both
145,Unaffiliated,Subterranean People,Both
146,Unaffiliated,Subterranean King,Male
147,Unaffiliated,Sage Centipede,Male
148,Unaffiliated,Super Custom YO649Z Mk.II,Male
149,Unaffiliated,Suppon,Male
150,Unaffiliated,Surprise-Attack Plum,Male
151,Unaffiliated,Three Eyed Ghost,Unidentified
152,Unaffiliated,The Three Tempest Brothers,Male
153,Unaffiliated,Tongue Stretcher,Male
154,Unaffiliated,Withered Sprout,Male
155,Unaffiliated,Garou,Male
