city,country,venue,opening_acts,revenue,tour,attendance,venue_seats,empty_seats,avg_ticket_cost,est_lost_income,max_possible_revenue
Evansville,United States,Roberts Municipal Stadium,"Gloriana, Kellie Pickler",360617,Fearless_Tour,7463,7463,0,48.32064853276162,0.0,360617.0
Jonesboro,United States,Convocation Center,"Gloriana, Kellie Pickler",340328,Fearless_Tour,7822,7822,0,43.50907696241371,0.0,340328.0
St. Louis,United States,Scottrade Center,"Gloriana, Kellie Pickler",650420,Fearless_Tour,13764,13764,0,47.25515838419064,0.0,650420.0
Alexandria,United States,Bishop Ireton High School,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
North Charleston,United States,North Charleston Coliseum,"Gloriana, Kellie Pickler",398154,Fearless_Tour,8751,8751,0,45.498114501199865,0.0,398154.0
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana, Kellie Pickler",507012,Fearless_Tour,11072,11072,0,45.79226878612717,0.0,507012.0
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana, Kellie Pickler",437313,Fearless_Tour,9436,9436,0,46.34516744383213,0.0,437313.0
London,England,Shepherd's Bush Empire,None Listed,401328,Fearless_Tour,6789,6789,0,59.114449845338044,0.0,401328.0
London,England,Shepherd's Bush Empire,None Listed,401328,Fearless_Tour,6789,6789,0,59.114449845338044,0.0,401328.0
Spokane,United States,Spokane Arena,"Gloriana, Kellie Pickler",482146,Fearless_Tour,10798,10798,0,44.651416929060936,0.0,482146.0
Seattle,United States,KeyArena,"Gloriana, Kellie Pickler",528637,Fearless_Tour,12061,12061,0,43.830279412984,0.0,528637.0
Portland,United States,Rose Garden Arena,"Gloriana, Kellie Pickler",613284,Fearless_Tour,13226,13226,0,46.36957507938908,0.0,613284.0
Nampa,United States,Ford Arena,"Gloriana, Kellie Pickler",413622,Fearless_Tour,8970,8970,0,46.11170568561873,0.0,413622.0
Glendale,United States,Jobing.com Arena,"Gloriana, Kellie Pickler",647923,Fearless_Tour,13052,13052,0,49.64166411277965,0.0,647923.0
Los Angeles,United States,Staples Center,"Gloriana, Kellie Pickler",720940,Fearless_Tour,13648,13648,0,52.823856975381005,0.0,720940.0
Paradise,United States,Mandalay Bay Events Center,"Gloriana, Kellie Pickler",551051,Fearless_Tour,8311,8311,0,66.30381422211526,0.0,551051.0
San Diego,United States,Valley View Casino Center,"Gloriana, Kellie Pickler",502689,Fearless_Tour,10174,10174,0,49.40918026341655,0.0,502689.0
Salt Lake City,United States,EnergySolutions Arena,"Gloriana, Kellie Pickler",555207,Fearless_Tour,13042,13042,0,42.570694678730256,0.0,555207.0
New Brockton,United States,BamaJam Farms,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Columbia,United States,Merriweather Post Pavilion,"Gloriana, Kellie Pickler",608438,Fearless_Tour,17619,17619,0,34.53306090016459,0.0,608438.0
Greensboro,United States,Greensboro Coliseum,"Gloriana, Kellie Pickler",690959,Fearless_Tour,14641,14641,0,47.19342941055939,0.0,690959.0
Oshkosh,United States,Ford Festival Park,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Cadott,United States,Amphitheatre Concert Grounds,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Calgary,Canada,Pengrowth Saddledome,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Edmonton,Canada,Commonwealth Stadium,None Listed,2540906,Fearless_Tour,33910,44500,10590,74.9308758478325,793517.9752285462,3334423.975228546
Craven,Canada,Big Valley Park,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Winnipeg,Canada,MTS Centre,"Gloriana, Kellie Pickler",512487,Fearless_Tour,11369,11369,0,45.07757938253145,0.0,512487.0
Twin Lakes,United States,Country Thunder Festival,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Columbus,United States,Value City Arena,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Charleston,United States,Charleston Civic Center,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Rapid City,United States,Barnett Arena,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Minot,United States,North Dakota State Fair Grandstand,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Philadelphia,United States,Wachovia Spectrum,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Detroit Lakes,United States,Soo Pass Ranch,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Omaha,United States,Qwest Center Omaha,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Chelmsford,England,Hylands Park,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Weston-under-Lizard,England,Weston Park,None Listed,-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
New York City,United States,Madison Square Garden,"Gloriana, Kellie Pickler",976062,Fearless_Tour,13597,13597,0,71.78509965433551,0.0,976061.9999999999
Montville,United States,Mohegan Sun Arena,"Gloriana, Kellie Pickler",296306,Fearless_Tour,7507,7507,0,39.470627414413215,0.0,296306.0
University Park,United States,Bryce Jordan Center,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Louisville,United States,Freedom Hall,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Duluth,United States,Arena at Gwinnett Center,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Greenville,United States,Bi-Lo Center,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Charlotte,United States,Time Warner Cable Arena,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Lafayette,United States,Cajundome,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
Bossier City,United States,CenturyTel Center,"Gloriana, Kellie Pickler",-1,Fearless_Tour,-1,-1,0,1.0,0.0,-1.0
